"TIME","GEO","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2012","European Union - 27 countries (from 2020)","Total","Less than 1 year","Year","80.2","b"
"2012","European Union - 27 countries (from 2020)","Males","Less than 1 year","Year","77.1","b"
"2012","European Union - 27 countries (from 2020)","Females","Less than 1 year","Year","83.1","b"
"2012","European Union - 28 countries (2013-2020)","Total","Less than 1 year","Year","80.3","b"
"2012","European Union - 28 countries (2013-2020)","Males","Less than 1 year","Year","77.4","b"
"2012","European Union - 28 countries (2013-2020)","Females","Less than 1 year","Year","83.0","b"
"2012","European Union - 27 countries (2007-2013)","Total","Less than 1 year","Year","80.3","b"
"2012","European Union - 27 countries (2007-2013)","Males","Less than 1 year","Year","77.4","b"
"2012","European Union - 27 countries (2007-2013)","Females","Less than 1 year","Year","83.1","b"
"2012","Euro area - 19 countries  (from 2015)","Total","Less than 1 year","Year","81.3","b"
"2012","Euro area - 19 countries  (from 2015)","Males","Less than 1 year","Year","78.5","b"
"2012","Euro area - 19 countries  (from 2015)","Females","Less than 1 year","Year","84.0","b"
"2012","Euro area - 18 countries (2014)","Total","Less than 1 year","Year","81.4","b"
"2012","Euro area - 18 countries (2014)","Males","Less than 1 year","Year","78.6","b"
"2012","Euro area - 18 countries (2014)","Females","Less than 1 year","Year","84.1","b"
"2012","Belgium","Total","Less than 1 year","Year","80.5",""
"2012","Belgium","Males","Less than 1 year","Year","77.8",""
"2012","Belgium","Females","Less than 1 year","Year","83.1",""
"2012","Bulgaria","Total","Less than 1 year","Year","74.4",""
"2012","Bulgaria","Males","Less than 1 year","Year","70.9",""
"2012","Bulgaria","Females","Less than 1 year","Year","77.9",""
"2012","Czechia","Total","Less than 1 year","Year","78.1",""
"2012","Czechia","Males","Less than 1 year","Year","75.1",""
"2012","Czechia","Females","Less than 1 year","Year","81.2",""
"2012","Denmark","Total","Less than 1 year","Year","80.2",""
"2012","Denmark","Males","Less than 1 year","Year","78.1",""
"2012","Denmark","Females","Less than 1 year","Year","82.1",""
"2012","Germany (until 1990 former territory of the FRG)","Total","Less than 1 year","Year","80.7",""
"2012","Germany (until 1990 former territory of the FRG)","Males","Less than 1 year","Year","78.1",""
"2012","Germany (until 1990 former territory of the FRG)","Females","Less than 1 year","Year","83.1",""
"2012","Germany including former GDR","Total","Less than 1 year","Year","80.7",""
"2012","Germany including former GDR","Males","Less than 1 year","Year","78.1",""
"2012","Germany including former GDR","Females","Less than 1 year","Year","83.1",""
"2012","Estonia","Total","Less than 1 year","Year","76.7",""
"2012","Estonia","Males","Less than 1 year","Year","71.4",""
"2012","Estonia","Females","Less than 1 year","Year","81.5",""
"2012","Ireland","Total","Less than 1 year","Year","80.9",""
"2012","Ireland","Males","Less than 1 year","Year","78.7",""
"2012","Ireland","Females","Less than 1 year","Year","83.1",""
"2012","Greece","Total","Less than 1 year","Year","80.7",""
"2012","Greece","Males","Less than 1 year","Year","78.0",""
